min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,std_dev_databytes,total_data_bytes,Processing_time
2438.02983,2439,2439,0.074502414,76.40988644,11650.24704,2193.691808,2217.914867,2536.48,867788.4905,2020-12-01T15:00:24.178+09:00
2438.026847,2439,2439,0.073052172,79.0688978,11608.62233,2186.106627,2198.17238,2020.49,835226.2415,2020-12-01T15:05:45.524+09:00
2438.024162,2439,2439,0.073746955,77.06200802,11659.0601,2178.649965,2184.617142,2062.62,840388.3173,2020-12-01T15:10:36.715+09:00
2437.921746,2439,2439,0.07737226,75.65580721,11801.55409,2162.609968,2172.931428,2067.76,845354.3856,2020-12-01T15:15:27.134+09:00
2437.929572,2439,2439,0.078635034,74.19022649,11828.09868,2167.237971,2169.609285,2139.71,848953.647,2020-12-01T15:20:47.324+09:00
2437.936614,2439,2439,0.07977153,74.17120384,11802.28881,2176.617174,2183.378356,2307.3,852464.5823,2020-12-01T15:25:37.516+09:00
2437.642953,2439,2439,0.093794377,72.85408346,11810.65993,2188.979457,2199.350521,2343.1,854857.1241,2020-12-01T15:30:29.363+09:00
2437.678658,2439,2439,0.09441494,72.26867511,11937.99394,2181.745511,2193.925469,2145.1,858481.9117,2020-12-01T15:35:22.411+09:00
2437.710792,2439,2439,0.096973446,71.9418076,11909.89454,2181.25696,2191.148922,2166.16,860796.5205,2020-12-01T15:40:43.279+09:00
2437.739713,2439,2439,0.097276101,71.14762684,12027.30509,2173.800264,2188.84903,2168.15,863619.1685,2020-12-01T15:45:34.029+09:00
2437.865741,2439,2439,0.087548491,69.93286416,12082.87458,2179.478238,2203.435127,2334.71,865588.0516,2020-12-01T15:50:23.673+09:00
2437.879167,2439,2439,0.087793642,69.83957774,12077.38712,2186.679414,2218.472614,2353.81,866837.4465,2020-12-01T15:55:46.244+09:00
2437.891251,2439,2439,0.087014278,68.95561997,11993.14841,2176.294472,2194.889353,1982.64,870340.1018,2020-12-01T16:00:35.217+09:00
2437.702125,2439,2439,0.09831285,72.56005797,11957.43357,2201.684025,2208.919417,2335.19,835555.1916,2020-12-01T16:05:25.020+09:00
2437.731913,2439,2439,0.097481565,71.20405217,12070.09021,2203.224623,2211.178476,2231.51,840239.7725,2020-12-01T16:15:33.074+09:00
2437.758722,2439,2439,0.096733408,73.98364696,12012.68119,2216.34816,2226.511628,2364.51,842824.3952,2020-12-01T16:20:22.344+09:00
2437.782849,2439,2439,0.094060068,73.48528226,11819.01307,2214.479344,2216.124465,2122.64,846448.4557,2020-12-01T16:25:43.541+09:00
2437.804565,2439,2439,0.094654061,74.83675403,11825.21176,2214.99041,2213.179019,2186.67,850365.2101,2020-12-01T16:30:36.040+09:00
2437.824108,2439,2439,0.090188655,76.15307863,11768.29059,2208.034369,2203.726117,2118.65,853505.9891,2020-12-01T16:35:26.736+09:00
2437.841697,2439,2439,0.090169789,79.03777077,11852.06153,2219.046932,2218.718505,2353.65,856013.4902,2020-12-01T16:40:46.724+09:00
