min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,flow_duration,Processing_time
502,502,502,0,649,649,649,0,649,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.194,2021-12-20T15:43:32.983+09:00
501,502,502,0.58,89,93,92,2,368,54601.854,2021-12-20T15:43:32.983+09:00
501,502,501,0.33,77,468,130,98.04,2210,40959.847,2021-12-20T15:43:32.983+09:00
502,502,502,0,649,649,649,0,649,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.5,77,102,95.75,12.5,383,899.702,2021-12-20T15:43:32.983+09:00
501,502,501,0.53,77,494,151,140.08,1359,435059.705,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,468,185.5,157.9,1113,0.377,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.192,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.376,2021-12-20T15:43:32.983+09:00
501,502,501,0.45,89,650,202.8,250,1014,0.372,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.52,89,647,184,226.83,1104,305993.665,2021-12-20T15:43:32.983+09:00
501,501,501,0,102,102,102,0,204,300.022,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,468,185.5,157.9,1113,0.377,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,497,185.83,165.81,1115,0.376,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.196,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.194,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.197,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,903,293.5,339.33,1761,0.378,2021-12-20T15:43:32.983+09:00
501,502,501,0.29,77,102,99.92,7.22,1199,4799.67,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.196,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,460,184.17,155.05,1105,0.374,2021-12-20T15:43:32.983+09:00
501,502,501,0.52,89,647,184,226.83,1104,435599.327,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.378,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,494,185.33,164.68,1112,0.372,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.376,2021-12-20T15:43:32.983+09:00
502,502,502,0,652,652,652,0,652,0,2021-12-20T15:43:32.983+09:00
